sentence1,sentence2,score
"Kampanye Solidaritas Palestina Irlandia
di mana O Muireagáin menjadi salah satu anggotanya
menyambut baik pembebasannya.","Kampanye Solidaritas Palestina Irlandia
di mana ia menjadi salah satu anggotanya
mengatakan bahwa ia sedang meneliti proyek pertukaran sekolah.",0.48
"Glover mengatakan bahwa si pembunuh menggunakan ""simpul yang aneh"" pada tali pengikat yang digunakannya untuk mencekik beberapa korban.","Glover mengatakan bahwa pembunuh tersebut menggunakan ""simpul yang aneh""
termasuk kabel koaksial dan kabel ekstensi
untuk mencekik beberapa korban.",0.68
Dia mengatakan bahwa pengacara Jane Doe meminta Verizon untuk merahasiakan namanya karena dia berencana untuk menentang panggilan pengadilan tersebut.,"Jane Doe
yang memutuskan untuk melawan panggilan pengadilan
meminta Verizon untuk tidak menyebutkan namanya.",0.72
"Pada bulan September
seorang peneliti Singapura berusia 27 tahun tertular SARS saat bekerja di laboratorium.","Dalam sebuah kasus pada bulan Agustus
seorang pekerja laboratorium berusia 27 tahun di Singapura terserang SARS.",0.68
"Angka di bawah 50 menunjukkan kontraksi di sektor manufaktur
sementara angka di atas itu mengindikasikan ekspansi.","Angka di atas 50 menunjukkan pertumbuhan di sektor ini
sementara angka di bawah level tersebut mengindikasikan kontraksi.",0.96
Sebuah gugatan hukum telah diajukan untuk memblokir pemindahan monumen Sepuluh Perintah Allah dari gedung tersebut.,Para pendukung meminta pengadilan federal pada hari Senin untuk memblokir pemindahan monumen Sepuluh Perintah Allah dari Gedung Peradilan Alabama.,0.64
"Britz memperoleh $3,77 juta dalam bentuk gaji
bonus
dan kompensasi lainnya
dan Kinney memperoleh $3,76 juta.","Johnston memperoleh gaji dan bonus sebesar $5,8 juta pada tahun 2001 sebagai presiden
dan sebagai penasihat paruh waktu memperoleh $1 juta pada tahun 2002.",0.28
"Truk itu terlihat di daerah Campbells Creek
sesuai dengan deskripsi tersebut
kata Morris.","Sebuah truk pickup hitam juga terlihat di daerah Campbells Creek
kata Morris.",0.6
Ketua Michael Powell dan rekan-rekan FCC pada sidang hari Rabu.,Kepala FCC Michael Powell memimpin sidang pada hari Senin.,0.64
"Indeks Dow Jones Industrial Average naik 0,3% pada 9.886,75
sementara indeks Nasdaq Composite naik 0,4% pada 1.986,97.","Di Wall Street
Dow Jones Industrial Average naik 0,5% pada 9.905,8 dan Nasdaq Composite naik 0,7% pada 1.995,1.",0.36
Teheran telah menjelaskan bahwa mereka hanya akan menandatangani Protokol Tambahan yang memperkenalkan inspeksi semacam itu jika larangan impor teknologi nuklir sipil Barat dicabut.,Teheran telah menegaskan bahwa mereka hanya akan menandatangani protokol tersebut jika larangan impor teknologi nuklir damai Barat dicabut.,0.76
Kongres dua kali sebelumnya mengesahkan pembatasan serupa hanya untuk kemudian diveto oleh Presiden Bill Clinton.,"Kongres dua kali mengesahkan rancangan undang-undang serupa
namun Presiden Clinton memveto keduanya.",0.92
"Namun
saya lebih suka berbicara tentang standar yang tinggi daripada standar yang rendah.""","""Saya lebih suka berbicara tentang angka positif daripada negatif.",0.56
"Di bawah program ini
para pejabat AS bekerja sama dengan otoritas pelabuhan asing untuk mengidentifikasi
menargetkan
dan menggeledah kargo berisiko tinggi.","Di bawah program ini
para pejabat AS bekerja sama dengan otoritas pelabuhan asing untuk mencari kargo berisiko tinggi sebelum kargo tersebut sampai ke Amerika Serikat.",0.85
Niels mengatakan kepada seorang pewawancara pada tahun 1999 bahwa ia mengira si Orang Tua akan hidup lebih lama darinya selama bertahun-tahun.,"Pada tahun 1999
dua tahun sebelum kematiannya
Mr. Nielsen mengatakan kepada seorang pewawancara bahwa ia mengira permukaan batu itu akan hidup lebih lama darinya selama bertahun-tahun.",0.6
"Salah satunya
Kapten Doug McDonald
masih dirawat di rumah sakit dalam kondisi kritis pada hari Kamis.","Adik perempuannya yang berusia 20 tahun
Allyson
mengalami luka bakar parah dan masih dirawat di rumah sakit dalam kondisi kritis.",0.15
"Pada hari Rabu
total anggota Garda Nasional dan Cadangan yang dipanggil untuk tugas aktif di seluruh dunia mencapai 154.603 orang.","Hingga kemarin
jumlah total pasukan Garda Nasional dan Cadangan yang dipanggil untuk bertugas di seluruh dunia mencapai 154.603 orang.",0.8
"Selama hampir satu dekade
Telemarketing Associates berhasil mengumpulkan lebih dari $7 juta.","Telemarketing Associates
yang dipekerjakan oleh VietNow
berhasil mengumpulkan $7,1 juta dari tahun 1987 hingga 1995.",0.72
"Jenazah mantan karyawan Invercargill
Warren Campbell
32 tahun
dan rekan pendakiannya
Jonathan Smith
47 tahun
ditemukan dari bawah Gunung D'Archiac kemarin pagi.","Warren David Campbell
32 tahun
dan rekan pendakiannya Jonathan Smith
47 tahun
tidak kembali seperti yang diharapkan pada hari Selasa dari pendakian di Gunung D'Archiac di Distrik McKenzie.",0.44
Geoghan telah tinggal di unit tahanan pelindung sejak dipindahkan ke penjara pada tanggal 3 April.,"Dia telah berada dalam tahanan pelindung sejak dipindahkan ke Souza-Baranowski pada bulan April
kata para pejabat.",0.56
"Platform Partai Demokrat tahun 2000 mendukung ""penyertaan penuh keluarga gay dan lesbian dalam kehidupan berbangsa dan bernegara.""","Platform Partai Demokrat pada tahun 2000 tidak secara eksplisit mendukung pernikahan gay
namun mendukung ""penyertaan penuh keluarga gay dan lesbian ke dalam kehidupan berbangsa dan bernegara.""",0.64
"Sahamnya turun 71 sen
atau 3,5 persen
pada perdagangan setelah jam kerja menjadi $19,55.","Saham ini naik 63 sen
atau 3 persen
dan ditutup pada $20,26 dalam perdagangan Nasdaq sesi reguler.",0.25
"Ratusan reporter dan fotografer membanjiri halaman gedung pengadilan sebelum sidang
yang disiarkan secara langsung di jaringan televisi nasional.",Ratusan reporter dan fotografer membanjiri kota dan sidang singkat yang melibatkan All-Star lima kali ini disiarkan secara langsung di jaringan kabel nasional.,0.6
Penjualan chip AMD melonjak 7 persen dari tahun ke tahun menjadi $402 juta.,"Penjualan kuartal kedua tumbuh 7 persen
menjadi $645 juta dari $600 juta di tahun 2002.",0.44
"Shelia Chaney Wilson tampak gelisah ketika ia datang untuk membantu mempersiapkan perayaan ulang tahun ke-104 Turner Monumental A.M.E. Church yang akan datang
kata para jemaat.","Jemaat Gereja Turner Monumental AME mengatakan Shelia Chaney Wilson
43 tahun
merasa gelisah saat ia datang ke gereja yang terletak di lingkungan Kirkwood
di sisi timur kota.",0.72
Dia adalah Ace of Diamonds dalam satu set kartu yang menggambarkan buronan Irak yang telah diberikan kepada pasukan AS.,Dia adalah kartu as dalam setumpuk kartu AS yang menunjukkan gambar-gambar pemimpin Irak yang paling dicari.,0.8
"Miodrag Zivkovic
dari Aliansi Liberal Montenegro
meraih 31 persen suara
sementara Dragan Hajdukovic yang merupakan calon independen meraih 4 persen.","Seorang radikal pro-kemerdekaan
Miodrag Zivkovic
dari Aliansi Liberal
berada di posisi kedua dengan 31 persen suara.",0.6
"Sejauh ini
Georgia telah mengembalikan semua uang yang ditransfernya kecuali $70.000.",Georgia telah menerima semua kecuali $70.000 dari uangnya kembali dengan bantuan FBI.,0.75
"Negara pulau ini melaporkan 65 kasus baru pada 22 Mei
rekor dalam satu hari
dan 55 kasus baru pada 23 Mei
menjadikan epidemi Taiwan sebagai epidemi dengan pertumbuhan tercepat di dunia.","Taiwan melaporkan 65 kasus baru pada 22 Mei
rekor satu hari
dan 55 kasus baru pada 23 Mei
menjadikan epidemi ini sebagai epidemi dengan pertumbuhan tercepat di dunia.",1.0
"Pemain outfielder Cubs
Sammy Sosa
diskorsing selama delapan pertandingan oleh liga utama bisbol pada hari Jumat karena menggunakan tongkat pemukul yang disumbat.","Sammy Sosa diskorsing selama delapan pertandingan oleh liga utama bisbol pada hari Jumat karena menggunakan tongkat pemukul yang disumbat
dan dia segera mengajukan banding atas keputusan tersebut.",0.64
Setengah dari wanita diberi dosis harian obat dan setengahnya lagi menggunakan plasebo.,"Setengah dari perempuan menerima tablet kombinasi estrogen plus progestin setiap hari
sementara sisanya diberikan plasebo.",0.64
"Ketika polisi mengeluarkan keempatnya dari rumah
berat badan mereka jika digabungkan mencapai 136 kilogram.",Setiap anak laki-laki memiliki berat badan kurang dari 50 kilogram saat dipindahkan dari panti pada 10 Oktober.,0.6
"Sementara keluarga Ibrahim menjalani satu kali operasi pemisahan
Goodrich dan Dr. David Staffenberg merencanakan tiga kali operasi pemisahan untuk keluarga Aguirres
dengan beberapa minggu di antaranya.","Alih-alih satu operasi panjang untuk memisahkan si kembar
Goodrich dan Dr. David Staffenberg merencanakan tiga operasi
dengan beberapa minggu di antaranya.",0.72
"Perusahaan ini telah berekspansi dengan menyediakan layanan lain untuk pembeli
termasuk layanan pembayaran.","Perusahaan telah memperluas layanan dasar tersebut
menawarkan pembayaran dan bahkan pembiayaan.",0.84
Ledakan tersebut menewaskan dua orang dan melukai lebih dari 150 orang lainnya.,Serangan Olimpiade Atlanta menewaskan seorang wanita dan melukai lebih dari 100 orang lainnya.,0.36
"Pada tahun 2001
Presiden Bush menunjuk Kathy Gregg sebagai anggota dewan direksi Student Loan Marketing Association.","Pada tahun 2001
Presiden Bush menobatkannya sebagai anggota Student Loan Marketing Association
pemberi pinjaman terbesar di Amerika Serikat untuk para mahasiswa.",0.65
"Keuskupan Agung Boston telah menghadapi gelombang skandal yang tidak hanya membuat marah para pendukung korban
tetapi juga umat paroki dan beberapa imam.","Gelombang skandal ini membuat marah tidak hanya para pendukung korban tetapi juga umat paroki dan beberapa imam
sampai-sampai Law tidak bisa lagi menjalankan keuskupan agung.",0.6
Seorang hakim federal di Fort Lauderdale memerintahkan agar dia ditahan tanpa jaminan.,"Zuccarini diperintahkan untuk ditahan tanpa jaminan pada hari Rabu oleh seorang hakim federal di Fort Lauderdale
Florida.",0.6
"Posisi departemen ini mengancam untuk mengasingkan kaum konservatif sosial
yang telah memberikan dukungan politik yang kuat untuk Ashcroft dan Presiden Bush.","Sikap departemen ini mengecewakan beberapa penentang aborsi
dan mengancam untuk mengasingkan kaum konservatif sosial yang telah memberikan dukungan politik yang kuat untuk Ashcroft dan Presiden Bush.",0.75
"Afrika Selatan memiliki jumlah kasus tertinggi di dunia dengan 4,7 juta orang yang terinfeksi HIV atau AIDS.","Dengan 4,7 juta orang yang terinfeksi HIV atau AIDS
Afrika Selatan memiliki jumlah kasus AIDS tertinggi di dunia.",1.0
"Dalam posisi tersebut
Elias akan melapor kepada Joe Tucci
presiden dan CEO EMC.","Sebagai wakil presiden eksekutif usaha baru
Elias akan melapor kepada Joe Tucci
presiden dan kepala eksekutif EMC.",0.68
"Komandan Angkatan Darat yang baru adalah komandan Brigade Lapis Baja Masaka
Brigadir Aronda Nyakairima yang sekarang dipromosikan menjadi mayor jenderal.",PRESIDEN Yoweri Museveni telah mempromosikan Brigadir Aronda Nyakairima menjadi Mayor Jenderal dan menunjuknya sebagai Panglima Angkatan Darat.,0.64
Mailblocks didirikan lima tahun setelah WebTV diakuisisi oleh Microsoft dengan nilai $425 juta.,WebTV dijual ke Microsoft pada tahun 1997 dengan harga $425 juta dan saat ini disebut MSN TV.,0.56
"Otoritas Transportasi Metropolitan diberi waktu dua minggu untuk mengembalikan tarif $ 1,50 dan tarif kereta komuter yang lama
kata York.","Otoritas Transportasi Metropolitan
yang berencana untuk mengajukan banding
diberi waktu hingga 28 Mei untuk mengembalikan tarif kereta bawah tanah dan bus yang lama dan tarif kereta komuter yang lama.",0.56
"""Hari ini
kami mencoba menyampaikan masalah ini kepada Presiden Rusia Vladimir Putin dan Presiden Amerika Serikat George W Bush.""","""Hari ini
kami mencoba menyampaikan masalah ini kepada Presiden Rusia Vladimir Putin (berita - situs web) dan Presiden Bush (berita - situs web).""",0.92
Negara bagian ini ingin membunuh serigala-serigala tersebut di area seluas 1.700 mil persegi di dekat desa McGrath.,Negara bagian ini ingin membunuh serigala di area seluas 1.700 mil persegi di dekat McGrath untuk membangun semacam pembibitan rusa.,0.64
"Peterson mengatakan kepada polisi bahwa dia memancing sendirian di Teluk San Francisco pada malam Natal
dan kembali ke sebuah rumah kosong.",Peterson mengatakan kepada polisi bahwa ia meninggalkan istrinya sekitar pukul 9:30 pagi pada tanggal 24 Desember untuk memancing sendirian di Teluk San Francisco.,0.6
"Survei Empire State The Fed jauh melampaui ekspektasi dengan melonjak menjadi 26,8 di bulan Juni
sebuah rekor tertinggi
dari 10,6 di bulan Mei.","Harga telah mundur dari level tertinggi di luar negeri ketika survei Empire State jauh melampaui ekspektasi dengan melonjak menjadi 26,8 di bulan Juni
sebuah rekor tertinggi
dari 10,6 di bulan Mei.",0.76
"Kepala Detektif Inspektur Norman McKinlay mengatakan bahwa ada ""bukti bahwa ada mayat atau mayat-mayat yang berada di daerah ini"".","Kepala Inspektur Detektif Norman McKinlay
yang memimpin penyelidikan
mengatakan: ""Ada bukti bahwa ada mayat atau beberapa mayat yang berada di area ini.",0.9
"Kanselir Dewan Robert Bennett menolak berkomentar mengenai masalah personalia pada hari Selasa
seperti halnya Mills.","Mills menolak berkomentar kemarin
dengan mengatakan bahwa ia tidak pernah membahas masalah personalia.",0.6
Jenderal Jeffrey mengatakan bahwa ia akan menyumbangkan uang pensiun militernya untuk amal selama masa jabatannya di Yarralumla.,Mayor Jenderal Jeffery mengatakan bahwa ia akan memberikan uang pensiun militernya untuk amal selama ia bertugas di Yarralumla.,0.95
"Manajer Tampa Bay Lou Piniella
pelatih bangku cadangan John McLaren dan pemain kanan Aubrey Huff dikeluarkan dari lapangan karena bersitegang setelah Huff dipanggil untuk melakukan pemogokan untuk mengakhiri babak kesembilan.","Manajer Tampa Bay
Lou Piniella
pelatih bangku cadangan John McLaren dan Huff
semuanya dikeluarkan pada pertengahan babak kesembilan.",0.76
Perusahaan ini memiliki lima kilang minyak dan lebih dari 2.100 stasiun pengisian bahan bakar di Rusia dan Ukraina.,"TNK-BP memiliki enam unit penghasil minyak
lima kilang minyak
dan 2.100 stasiun pengisian bahan bakar.",0.6
"Perubahan lain dalam rencana tersebut menyempurnakan visi awalnya
kata Libeskind.","Banyak dari perubahan tersebut merupakan perbaikan dari rencana awal
kata Libeskind.",0.92
"Peter Deutsch
D-Fla
mengkritik upaya FDA di Florida.","Peter Deutsch
D-Fla
mengatakan bahwa ia ingin mengucapkan selamat kepada FDA.",0.4
"Saat ini terdapat 37 kasus probable aktif di GTA
dibandingkan dengan 70 kasus pada tanggal 6 Juni.","Dan
secara global
jumlah kasus probable aktif telah menurun menjadi 573 kasus.",0.3
SARS telah menewaskan 296 orang di daratan Cina dan menginfeksi lebih dari 5.200 orang.,"Di seluruh daratan Tiongkok
penyakit ini telah menewaskan 300 orang dan menginfeksi lebih dari 5.270 orang.",0.64
"Finder yang didesain ulang juga memiliki fitur pencarian
label berwarna untuk pengaturan dokumen dan proyek yang disesuaikan dan penelusuran jaringan yang dinamis untuk server file Mac
Windows
dan UNIX.","Aplikasi ini juga mendukung label berwarna untuk mengatur dokumen dengan lebih baik
dan penjelajahan jaringan yang dinamis untuk server file Mac
Windows
dan Unix.",0.6
"Pengacara yang mewakili Torch Concepts
Rich Marsden tidak menanggapi panggilan telepon yang dilakukan berulang kali.",Para pejabat di Torch dan JetBlue tidak menanggapi panggilan telepon dari Mercury News untuk meminta komentar.,0.55
"Dia dikebiri secara sukarela pada tahun 2001
sebuah operasi yang menurutnya menghilangkan kemampuannya untuk terangsang secara seksual.","DeVries
yang dikebiri secara sukarela pada bulan Agustus 2001
mengatakan bahwa operasi tersebut menghilangkan kemampuannya untuk terangsang secara seksual.",0.9
"Indeks komposit S&P/TSX naik 87,74 poin dalam sepekan
sementara indeks komposit TSX Venture Exchange naik 44,49 poin.","Pada minggu ini
rata-rata industri Dow Jones naik 11,56 poin
sementara Pasar Saham Nasdaq naik 39,42 poin.",0.2
"Sebagai gantinya
SuSE akan memberikan lisensi Java 2 Standard Edition dan juga meresmikan perjanjian yang sudah ada untuk mendistribusikan Java Virtual Machine milik Sun untuk menjalankan aplikasi-aplikasi Java.","SuSE yang berbasis di Nuremberg
Jerman akan melisensikan Java 2 Standard Edition (J2SE) milik Sun dan mengirimkan Java Virtual Machine milik Sun ke seluruh lini perangkat lunak Linux.",0.75
"Antrean panjang terbentuk di luar pom bensin dan orang-orang bergegas mengambil uang dari mesin-mesin ATM pada hari Minggu
ketika warga Israel bersiap menghadapi aksi mogok yang mengancam akan melumpuhkan negara itu.",Antrean panjang terbentuk pada hari Minggu di luar pom bensin dan orang-orang bergegas mengambil uang dari mesin-mesin ATM ketika warga Israel bersiap-siap menghadapi dampak pemogokan.,0.9
"Indeks komposit Nasdaq yang berbasis teknologi turun 3,99
atau 0,2%
menjadi 1.682,72
menyusul kenaikan dua hari sebelumnya sebesar 55,93.","Indeks Komposit Nasdaq yang terkait dengan teknologi
IXIC
turun 8,52 poin
atau 0,51 persen
menjadi 1.670,21.",0.3
"Kami tidak tahu apakah ada yang akan terjangkit SARS,"" ujar Dr. James Young
komisaris keselamatan publik Ontario.","""Kami sangat waspada,"" kata Dr. James Young
komisaris keselamatan publik Ontario.",0.4
"Penjualan untuk kuartal ini melampaui ekspektasi
naik 37 persen dari tahun ke tahun menjadi 1,76 miliar euro.","Penjualan naik 37 persen dari tahun ke tahun menjadi 1,76 miliar
melampaui ekspektasi.",0.8
Perusahaan mengatakan akan mengeluarkan revisi panduan untuk tahun fiskal penuh bulan depan ketika merilis hasil kuartal kedua.,Perusahaan mengatakan akan memperbaharui panduannya untuk tahun 2003 ketika mengumumkan hasil kuartal kedua pada pertengahan Juli.,0.64
"""Kami belum memutuskan apakah akan menggunakan garis putih yang tidak terputus atau putus-putus
tetapi ini adalah eksperimen yang layak untuk diperkenalkan,"" kata David Richardson
manajer kriket ICC.","""Kami belum memutuskan apakah akan menggunakan garis putih yang tidak terputus atau putus-putus,"" kata Dave Richardson
manajer kriket ICC.",0.8
"Shinseki pensiun pada hari Rabu setelah berkarir selama 38 tahun
termasuk pertempuran di Vietnam dan mengepalai upaya perdamaian AS di Bosnia.",Karier Shinseki meliputi pertempuran di Vietnam dan mengepalai upaya pemeliharaan perdamaian AS di Bosnia.,0.6
Departemen ini juga mengirimkan sampel air dan tanah ke laboratorium kesehatan negara bagian.,Sampel air dikirim ke departemen kesehatan negara bagian untuk dianalisis.,0.65
"""Namun
hal itu tidak membebaskan mereka dari kewajiban untuk melakukan segala sesuatu yang mungkin dilakukan untuk melindungi warga sipil
dan bukan itu yang kita lihat.""","""Namun
hal itu tidak membebaskan mereka dari tanggung jawab untuk melakukan segala sesuatu yang mungkin dilakukan untuk meminimalisir bahaya bagi warga sipil.""",0.68
"Ross Garber
pengacara Rowland
mengatakan pada hari Selasa bahwa ia akan menghadiri pertemuan tersebut dan akan meminta untuk berbicara mengenai masalah ini.","Ross Garber
penasihat hukum Rowland
mengatakan bahwa gubernur tidak akan berkomentar tentang kesepakatan kondominium tersebut.",0.4
Sebelumnya ia hanya pernah melihat mekanik murah senyum dari Jawa Timur ini di televisi.,"Bapak Hughes pernah melihat wajah Amrozi di televisi
gambar-gambar terkenal dari montir yang selalu menyeringai dari Jawa Timur itu.",0.68
"Dua tahun kemudian
perlindungan asuransi akan dimulai.","Berdasarkan perjanjian tersebut
cakupan Medicare untuk manfaat obat akan dimulai pada tahun 2006.",0.56
Citra satelit NASA menunjukkan bahwa es di Kutub Utara telah menyusut dengan laju hampir 10 persen per dekade.,Para peneliti menemukan bahwa es laut di Kutub Utara menghilang dengan laju 9 persen setiap dekade.,0.64
"""Produk bioteknologi
jika ada
mungkin lebih aman daripada produk konvensional karena semua pengujian,"" kata Fraley
seraya menambahkan bahwa 18 negara telah mengadopsi bioteknologi.","""Produk bioteknologi
jika ada
mungkin lebih aman daripada produk konvensional karena semua pengujian,"" kata Robert Fraley
wakil presiden eksekutif Monsanto.",0.64
"Seorang guru bersertifikat nasional dengan gelar master
Kelley mendapatkan gaji $65.000 di usianya yang ke-30.","Seorang guru bersertifikasi nasional dengan gelar master
Kelley
yang telah mengajar selama 30 tahun
menghasilkan $65.000.",0.95
"Di Wina
IAEA mengatakan bahwa ElBaradei akan menerima undangan tersebut
meskipun belum ada tanggal yang ditetapkan.","Di Wina
Badan Tenaga Atom Internasional mengatakan pada hari Senin bahwa ElBaradei telah menerima undangan Iran
namun mengatakan bahwa belum ada tanggal yang ditetapkan.",0.65
"Epidemi ini dimulai pada bulan November di provinsi Guangdong di daratan Tiongkok
tetapi Republik Rakyat Tiongkok menolak untuk melaporkan secara jujur tentang penyebarannya selama empat bulan.","Epidemi RRT dimulai di provinsi Guandong pada bulan November
tetapi pemerintah Partai Komunis menolak untuk melaporkan secara jujur tentang penyebarannya selama empat bulan.",0.85
"Druce akan menghadapi dakwaan pembunuhan
kata Conte.",Conte mengatakan bahwa Druce akan didakwa dengan tuduhan pembunuhan.,1.0
"Hal ini dibandingkan dengan $35,18 juta
atau 24 sen per saham
pada periode tahun lalu.",Laba dipengaruhi oleh manfaat pajak sebesar $8 juta yang tidak berulang pada periode tahun lalu.,0.32
"Nick Markakis
seorang pemain kidal dari Young Harris Junior College di Georgia
pergi ke Orioles dengan pilihan ketujuh.","Selanjutnya
Baltimore mengambil Nick Markakis
seorang pitcher kidal dan outfielder dari Young Harris Junior College di Georgia.",0.76
"Kami tetap berharap bahwa pemerintah kota akan setuju untuk bekerja sama dengan kami dan terlibat dalam diskusi dengan itikad baik mengenai masalah ini.""","Alhart mengatakan bahwa gubernur ""tetap berharap bahwa kota ini akan terus bekerja sama dengan kami dan terlibat dalam diskusi dengan itikad baik.""",0.7
Beberapa wanita juga prihatin karena begitu banyak wanita yang beralih ke bedah kosmetik untuk mendapatkan kesempurnaan tubuh.,Beberapa wanita juga mengungkapkan keprihatinannya tentang masyarakat di mana semakin banyak orang yang beralih ke bedah kosmetik untuk mendapatkan kesempurnaan tubuh.,0.95
Pemberitahuan ini pertama kali dilaporkan pada hari Jumat oleh MSNBC.,MSNBC.com pertama kali melaporkan permintaan CIA tersebut pada hari Jumat.,0.6
"Namun
tidak ada foto Peter Hollingworth dalam edisi bulan Juni yang diperiksa oleh Herald kemarin.","Namun
tidak ada foto Dr Hollingworth dalam majalah edisi Juni yang diperiksa oleh The Age kemarin.",0.6
"""Kami terus bekerja sama dengan Saudi dalam hal ini
tetapi mereka tidak
pada saat kejadian tragis ini
memberikan keamanan tambahan yang kami minta.""","""Namun
pada saat kejadian tragis ini terjadi
mereka tidak menyediakan keamanan yang kami minta,"" kata Jordan.",0.65
Sebuah pernyataan yang dikeluarkan oleh DEI mengatakan bahwa Green akan mulai mengemudikan mobil tersebut untuk sementara waktu mulai minggu depan di Winston Open di Lowe's Motor Speedway.,"Diumumkan bahwa Green akan menggantikan Park di mobil Dale Earnhardt Inc. No. 1 Chevrolet
dimulai dengan Winston Open di Lowe's Motor Speedway minggu depan.",0.65
"Lawan Costa di semifinal adalah petenis Spanyol Juan Carlos Ferrero
yang ia kalahkan di final tahun lalu.",Selanjutnya Costa akan menghadapi Juan Carlos Ferrero dalam pertandingan ulangan final tahun lalu.,0.75
Para dokter berspekulasi bahwa estrogen tubuh sendiri melindungi dari kerusakan sel dan meningkatkan aliran darah.,Keyakinan mereka didasarkan pada spekulasi bahwa estrogen mencegah kerusakan sel dan meningkatkan aliran darah.,0.85
"Indeks Komposit Nasdaq <.IXIC> yang terkait dengan teknologi bertambah 8,27 poin
atau 0,51 persen
menjadi 1.633,53.","Indeks Standard & Poor's 500 yang lebih luas
yaitu SPX
naik 4,3 poin
atau 0,44 persen
menjadi 980,52.",0.24
"Tidak ada warga Amerika Serikat yang dilaporkan di antara para korban
menurut Kapten Michael Calvert
juru bicara resimen.","Tak satu pun dari korban tewas adalah orang Amerika
kata Kapten Michael Calvert
juru bicara resimen.",1.0
Kami pikir mereka memiliki hak untuk memilih.,"""Kami pikir pelanggan PeopleSoft berhak mendapatkan hak untuk memilih,"" kata Ellison.",0.6
"""Kami telah menemukan bukti,"" kata anggota dewan investigasi Scott Hubbard.","""Kami telah menemukan senjata yang mematikan,"" kata Hubbard
direktur Ames Research Center NASA di California.",0.72
"""Anak ini benar-benar ditelantarkan sampai mati,"" kata Jaksa Wilayah Armstrong
Scott Andreassi.","Jaksa Wilayah Armstrong
Scott Andreassi
mengatakan bahwa banyak foto keluarga di rumah itu tidak termasuk Kristen.",0.36
"Microsoft mengatakan pada hari Jumat bahwa mereka menghentikan pengembangan browser Internet Explorer versi Macintosh yang akan datang
dengan alasan adanya persaingan dari browser Safari milik Apple Computer.","Microsoft akan menghentikan pengembangan versi perangkat lunak peramban Internet Explorer untuk komputer Macintosh
dengan mengatakan bahwa Safari milik Apple saat ini merupakan satu-satunya yang dibutuhkan oleh Apple.",0.8
Chapman tidak langsung ditahan dan diperkirakan akan muncul untuk dakwaan pada 3 Juli.,"Chapman
yang belum ditahan
diperkirakan akan hadir untuk dakwaan pada hari Kamis depan
kata jaksa.",0.76
"Presiden Bush berhasil mengumpulkan dana sebesar $49,5 juta untuk kampanye pemilihannya kembali selama tiga bulan terakhir
dengan sumbangan dari 262.000 orang Amerika
demikian dikatakan ketua kampanye presiden pada hari Selasa.","Presiden Bush telah mengumpulkan $83,9 juta sejak memulai kampanye pemilihannya kembali pada bulan Mei
dan masih menyisakan $70 juta untuk dibelanjakan
demikian ungkap kampanyenya pada hari Selasa.",0.48
"Pihak berwenang di Ohio
Indiana dan Michigan telah mencari mayat-mayat tersebut.","Sejauh ini
pihak berwenang juga telah menggeledah daerah-daerah di Pennsylvania
Ohio
Indiana
dan Michigan.",0.56
"Ia mengatakan bahwa pemerintah-pemerintah Eropa ""telah memblokir semua tanaman bio baru karena ketakutan yang tidak berdasar dan tidak ilmiah.","""Mereka telah memblokir semua tanaman bio baru karena ketakutan yang tidak berdasar dan tidak ilmiah,"" kata Bush.",0.64
"Salah satu pertanyaannya adalah apakah Perancis
yang membuat marah Washington dengan memimpin tuntutan menentang otorisasi PBB untuk perang
akan memilih ""Ya"" atau abstain.","Prancis
yang membuat marah Washington dengan memimpin tuntutan menentang persetujuan PBB untuk perang
juga mengupayakan perubahan.",0.6
"Jaksa Wilayah Luzerne
David Lupas
mengatakan pada konferensi pers hari Senin bahwa pihak berwenang ""terus membuat kemajuan yang signifikan"" dalam kasus ini.","Tidak ada dakwaan yang diajukan dalam kematian tersebut
namun Jaksa Wilayah Luzerne
David Lupas
mengatakan bahwa pihak berwenang ""terus membuat kemajuan yang signifikan"" dalam kasus ini.",0.68
Conference Board AS mengatakan bahwa ukuran terakhir dari kepercayaan bisnis mencapai 60 setelah jatuh ke 53 pada survei kuartal pertama.,"Conference Board mengatakan bahwa ukuran kepercayaan bisnis
yang telah turun menjadi 53 pada kuartal pertama 2003
meningkat menjadi 60 pada kuartal kedua yang terbaru.",0.76
Perwakilan hukumnya mulai bertemu dengan pengacara penggugat minggu lalu untuk mendiskusikan penyelesaian.,Pengacara dari keuskupan agung dan para penggugat mulai bertemu minggu lalu untuk mencapai penyelesaian di luar pengadilan.,0.65
Lansia kemudian harus membayar 50 persen dari biaya obat mereka hingga $ 3.450.,"Di atas itu
Medicare akan membayar 90 persen dari semua biaya obat.",0.3
"Pengusaha flamboyan ini mengumumkan rencana tersebut setelah melakukan pertemuan di London dengan Menteri Pariwisata Australia
Joe Hockey.",Sir Richard berbicara setelah pertemuan di London dengan Menteri Pariwisata Australia Joe Hockey.,0.56
"Obligasi pemerintah terjual dengan tajam setelah Greenspan mengatakan kepada Kongres pada hari Selasa bahwa ekonomi AS ""bisa jadi akan memulai periode pertumbuhan yang diperpanjang"".","Greenspan mengatakan kepada Kongres pada hari Selasa bahwa ekonomi AS ""bisa jadi akan memulai sebuah periode pertumbuhan yang berkelanjutan"".",0.64
